,Track Name,Artist,Track ID,Artist ID,Genres
51,Ignorance,Paramore,5ZdrNnYV5VZWds4WXKf8kf,74XFHRwlV6OrjEM0A2NCMF,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']"
52,Feel Real Pretty,Paper Idol,3RcoIYZ9HOJ8nhKLRV9c4e,6dewigIOIcG6m1XGsG4Mc3,[]
53,Every Other Freckle,alt-J,6BVBkKpZK09NmifUMZqj1z,3XHO7cRUPCLOr6jwp8vsx5,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']"
54,Psylla,Glass Animals,4XCpDE4pLTkkQ0kudqBLdS,4yvcSjfu4PC0CYQyLy4wSq,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
55,Helena Beat,Foster The People,4VbDJMkAX3dWNBdn3KH6Wx,7gP3bB2nilZXLfPHJhMdvc,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']"
56,No Rest for the Wicked,Lykke Li,2gCvWjrHt6PVJjIN1amlje,6oBm8HB0yfrIc9IHbxs6in,"['art pop', 'electropop', 'indietronica', 'neo-synthpop', 'swedish electropop', 'swedish indie pop', 'swedish pop']"
57,Riot,The Scarlet Opera,2JVYdQafLX5jbr6IlQ1KIx,331esE1oEqzbQQGZPJ4Yix,[]
58,Bad Friday,Everything Everything,0ggtOtlelbjiOavXz4HHHx,1HOeqtP7tHkKNJNLzQ2tnr,"['british indie rock', 'experimental pop', 'modern rock', 'new rave']"
59,Black Sheep,Metric,72hSmnleYTiiOo23q8ZJIS,1rCIEwPp5OnXW0ornlSsRl,"['canadian indie', 'canadian rock', 'indie rock', 'indietronica', 'metropopolis', 'neo-synthpop']"
60,I'm Not A Saint,Billy Raffoul,0CKPLoYW0nsAnjnr00HRWV,5gw5ANPCVcxU0maLiGRzzP,['canadian pop']
61,Happy Idiot,TV On The Radio,63mnZ0zF5fBwJzYg2pDo9e,3HJIB8sYPyxrFGuwvKXSLR,"['alternative dance', 'alternative rock', 'brooklyn indie', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'neo-synthpop']"
62,Blast Doors,Everything Everything,4Kxribw8agTbMRLmAJcTRn,1HOeqtP7tHkKNJNLzQ2tnr,"['british indie rock', 'experimental pop', 'modern rock', 'new rave']"
63,Haunted House,Sir Babygirl,0LBVeflG57dKCCgJafOcmq,3Z9b1MnVKbJw8LpgQclsls,"['bubblegrunge', 'new hampshire indie']"
64,I Wanna Get Better,Bleachers,1BwhFXqoIsePt21WyWIttb,2eam0iDomRHGBypaDQLwWI,"['double drumming', 'indie pop', 'modern rock', 'pov: indie']"
65,Choke,Royal & the Serpent,5hqK5evNmuLtIiQs4Z5N1M,64EHXDoln95lnccszdPum0,"['alt z', 'indie electropop', 'modern alternative pop']"
66,Therefore I Am,Billie Eilish,20R4HfKloPKgXDqU7UKk3x,6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'electropop', 'pop']"
67,River Lea,Adele,0bqC0AqaBZKBZsjhI3y2OW,4dpARuHxo51G3z768sgnrY,"['british soul', 'pop', 'pop soul', 'uk pop']"
68,Talking to Yourself,Carly Rae Jepsen,7I7Dk8FOkZqhqZp9N2RKiP,6sFIWsNpZYqfjUpaCgueju,"['canadian pop', 'dance pop', 'pop']"
69,Out Of The Woods,Taylor Swift,0qUnBLZ8bJqUNEeQgayL9t,06HL4z0CvFAxyc27GXpf02,['pop']
70,3am,Halsey,1OfLNb6dQ9dra1B58iT9Ex,26VFTg2z8YR0cCuwLzESi2,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
71,Jackie And Wilson,Hozier,5xo1Gj4WTssjQgQ0w03cf2,2FXC3k01G6Gw61bmprjgqS,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']"
72,Holding on to You,Twenty One Pilots,3C3cr2JQwXIhqAHqOardVO,3YQKmKGau1PzlVlkL1iodx,"['modern rock', 'pop', 'pov: indie', 'rock']"
73,Wildcard,Miley Cyrus,1rpfEeYbtYDcnLWSBZBmNH,5YGY8feqx7naU7z4HrwZM6,['pop']
74,Harder To Breathe,Maroon 5,4V9JDRqKjN8F2HWdlEDxvI,04gDigrS5kc9YWfZHwBETP,['pop']
75,Better in Color,Lizzo,0bt3YJTupDqdTKpnFFgs7f,56oDRnqbIiwx4mymNEv7dS,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']"
76,Violet Chemistry,Miley Cyrus,00Ga884hbpVvCNyeQdle1U,5YGY8feqx7naU7z4HrwZM6,['pop']
77,Mood Ring,Lorde,7rb4dcBfW0m1LQQcDCh4Hv,163tK9Wjr9P9DmM0AVK7lm,"['art pop', 'metropopolis', 'nz pop', 'pop']"
78,WTF Do I Know,Miley Cyrus,37PJvlIfYWqEX6fgjHlnTf,5YGY8feqx7naU7z4HrwZM6,['pop']
79,the last great american dynasty,Taylor Swift,2Eeur20xVqfUoM3Q7EFPFt,06HL4z0CvFAxyc27GXpf02,['pop']
80,Boomslang.,MS.,3EOWUSrJdGYvTPO4z0GEPe,280ogsADuVu9gxXPbp3wi9,[]
81,You Know Me Too Well,Nothing But Thieves,1BpmL4NBhX2P7GxuoVtojI,1kDGbuxWknIKx4FlgWxiSp,"['alternative pop rock', 'modern alternative rock', 'modern rock']"
82,Your Mother Was Cheaper,Two Feet,4D0MwPqtu4cuIgvE7n17Lx,5sWHDYs0csV6RS48xBl0tH,"['indie poptimism', 'modern rock']"
83,West Coast,MISSIO,6zvbty1Vv0uR5Zajlx43gk,2HOMW1liAxI3URnEq95SMS,"['modern alternative rock', 'modern rock']"
84,Eden,NoMBe,5aA6DFL8lkK7Giw1v9BBO7,5Lhxlge1CR1DrgDAje8Qaw,['vapor soul']
85,Kill Our Way to Heaven,Michl,6MDA9JR00rgB20dIVqaDe9,0qG3lxHmrUeKzL1BJJ7IBN,[]
